timestamp,ecg_measurement,qrs_detected
9.681304400000000000e+07,2.233626603999999904e+00,0.000000000000000000e+00
9.681696400000000000e+07,2.179863214400000082e+00,0.000000000000000000e+00
9.682089200000000000e+07,2.150537729199999859e+00,0.000000000000000000e+00
9.682481200000000000e+07,2.160312890999999791e+00,0.000000000000000000e+00
9.682873200000000000e+07,2.155425310100000047e+00,0.000000000000000000e+00
9.683266000000000000e+07,2.116324424700000151e+00,0.000000000000000000e+00
9.683658000000000000e+07,2.057673454200000140e+00,0.000000000000000000e+00
9.684050000000000000e+07,2.038123130699999841e+00,0.000000000000000000e+00
9.684442000000000000e+07,2.052785873399999961e+00,0.000000000000000000e+00
9.684834000000000000e+07,2.067448616000000072e+00,0.000000000000000000e+00
9.685225200000000000e+07,2.028347968999999917e+00,0.000000000000000000e+00
9.685615200000000000e+07,1.964809417699999949e+00,0.000000000000000000e+00
9.686005600000000000e+07,1.920821094499999937e+00,0.000000000000000000e+00
9.686397600000000000e+07,1.915933513599999971e+00,0.000000000000000000e+00
9.686791200000000000e+07,1.920821094499999937e+00,0.000000000000000000e+00
9.687182800000000000e+07,1.876832866600000038e+00,0.000000000000000000e+00
9.687575600000000000e+07,1.798631429600000109e+00,0.000000000000000000e+00
9.687968000000000000e+07,1.744868040000000065e+00,0.000000000000000000e+00
9.688358400000000000e+07,1.715542554800000064e+00,0.000000000000000000e+00
9.688750800000000000e+07,1.705767393099999918e+00,1.000000000000000000e+00
9.689143600000000000e+07,1.652003860400000024e+00,0.000000000000000000e+00
9.689534800000000000e+07,1.559139728499999933e+00,0.000000000000000000e+00
9.689928000000000000e+07,1.480938434600000075e+00,0.000000000000000000e+00
9.690319600000000000e+07,1.446725368400000100e+00,0.000000000000000000e+00
9.690711200000000000e+07,1.436950111300000055e+00,0.000000000000000000e+00
9.691103200000000000e+07,1.397849445300000104e+00,0.000000000000000000e+00
9.691495600000000000e+07,1.344086050900000107e+00,0.000000000000000000e+00
